"ID","InstitutionID","datasetName","catalogNumber","occurrenceRemarks","recordNumber","recordedBy","sex","otherCatalogNumbers","associatedTaxa","eventID","eventDate","year","month","day","verbatimEventDate","habitat","fieldNumber","fieldNotes","country","stateProvince","county","municipality","locationID","locality","verbatimLocality","verbatimElevation","minimumElevationInMeters","maximumElevationInMeters","verbatimCoordinates","verbatimLatitude","verbatimLongitude","substrate","aocr:verbatimScientificName","aocr:verbatimInstitution","decimalLatitude","decimalLongitude","identificationID","identifiedBy","dateIdentified","identificationRemarks","identificationQualifier","taxonID","typeStatus","scientificName","family","genus","specificEpithet","infraspecificEpithet","taxonRank","scientificNameAuthorship","basisOfRecord","occurrenceID"
88,,"LICHENES AMERICANI EXSICCATI","TENN-L-0000033",,"67","M. E. Hale",,,,ark:/21547/Fg2_84,"1956-08",,,,"Aug. 1956","On Medina sandstone in high mountains",,"Chemical contents: gyrophoric acid; No. 67. Actinogyra muhlenbergii (Ach.) Schol. Cf. G. Llano, Monogr. Umbilicariaceae, p. 200. 1950.","USA","West Virginia","Pendleton",,ark:/21547/Fh2_84,,"top of Spruce Knob","1236 m.",,,,,,,"Actinogyra muhlenbergii (Ach.) Schol.","University of Tennessee (TENN)",,,ark:/21547/Fj2_86,,,,,ark:/21547/Fi2_86,,"Actinogyra muhlenbergii (Ach.) Schol.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_84
89,,"LICHENS OF NORTH AMERICA","TENN-L-0000035",,,"Dr. & Mrs. A. J. Sharp, Z. Iwatsuki & I. Yoshimura",,,,ark:/21547/Fg2_85,"1965-10-30",,,,"Oct. 30, 1965","on upper surface of rock",,,"USA","NORTH CAROLINA","Macon","NORTH AMERICA",ark:/21547/Fh2_85,,"Highlands, National forest",,,,,,,,"Actinogyra muhlenbergii (Ach.) Schol.","University of Tennessee (TENN)",,,ark:/21547/Fj2_87,,,,,ark:/21547/Fi2_87,,"Actinogyra muhlenbergii (Ach.) Schol.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_85
90,,"LICHENS OF NORTH CAROLINA","TENN-L-0000036",,,"H. A. Sierk",,,,ark:/21547/Fg2_86,"1956-11-03",,,,"Nov. 3, 1956","siliceous rock",,,"USA","NORTH CAROLINA","Jackson",,ark:/21547/Fh2_86,,"Top of Whiteside Mountain","4900'",,,,,,,"Actinogyra muhlenbergii (Ach.) Schol.","University of Tennessee (TENN)",,,ark:/21547/Fj2_88,"H.A. Sierk",,,,ark:/21547/Fi2_88,,"Actinogyra muhlenbergii (Ach.) Schol.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_86
91,,"HATTORI-TENNESSEE COOPERATIVE BRYOGEOGRAPHIC COLLECTIONS, 1964-68","TENN-L-0000041",,,"Mason E. Hale & Isao Yoshimura",,,,ark:/21547/Fg2_87,"4/10/1966",,,,"April 10, 1966",,,,"USA","VIRGINIA","Dickenson",,ark:/21547/Fh2_87,,"Breaks Interstate Park",,,,,,,,"Actinogyra muhlenbergii 1 (Ach.) Llano","University of Tennessee",,,ark:/21547/Fj2_89,,,,,ark:/21547/Fi2_89,,"Actinogyra muhlenbergii 1 (Ach.) Llano",,,,,,,PreservedSpecimen,ark:/21547/Ff2_87
92,,"LICHENS OF NORTH AMERICA","TENN-L-0000042",,,"Dr. & Mrs. A. J. Sharp, Z. Iwatsuki & I. Yoshimura",,,,ark:/21547/Fg2_88,"1965-10-30",,,,"Oct. 30, 1965",,,,"USA","NORTH CAROLINA","Macon",,ark:/21547/Fh2_88,,"Highlands, National forest",,,,,,,,"Actinogyra muhlenbergii (Ach.) Llano","University of Tennessee",,,ark:/21547/Fj2_90,,,,,ark:/21547/Fi2_90,,"Actinogyra muhlenbergii (Ach.) Llano",,,,,,,PreservedSpecimen,ark:/21547/Ff2_88
93,,"LICHENS OF MICHIGAN","TENN-L-0000043",,,"A.J. Sharp",,,,ark:/21547/Fg2_89,"1954-07-19",,,,"19 July 1954",,,,"USA","MICHIGAN","Alger",,ark:/21547/Fh2_89,,"Au Train",,,,,,,,"Alectoria","University of Tennessee",,,ark:/21547/Fj2_91,,,,,ark:/21547/Fi2_91,,"Alectoria",,,,,,,PreservedSpecimen,ark:/21547/Ff2_89
94,,"HATTORI-TENNESSEE COOPERATIVE BRYOGEOGRAPHIC COLLECTIONS","TENN-L-0000044",,,"A. J. Sharp and Z. Iwatsuki",,,,ark:/21547/Fg2_90,"1967-07-24",,,,"24 July 1967","Open face of cliff",,,"USA","Alaska",,,ark:/21547/Fh2_90,,"Across bay from Port Moller",,,,,,,,"Alectoria","University of Tennessee",,,ark:/21547/Fj2_92,,,,,ark:/21547/Fi2_92,,"Alectoria",,,,,,,PreservedSpecimen,ark:/21547/Ff2_90
95,,"LICHENS OF GALCIER NATIONAL PARK","TENN-L-0000045",,,"H. & V. Bailey",,,,ark:/21547/Fg2_91,"1959-07-03",,,,"July 3, 1959",,,,"USA","Mont.","Flathead",,ark:/21547/Fh2_91,,"Trail to Mount Brown Lookout",,,,,,,,"ALECTORIA","University of Tennessee (TENN)",,,ark:/21547/Fj2_93,"Alt.: 6000 ft.",,,,ark:/21547/Fi2_93,,"ALECTORIA",,,,,,,PreservedSpecimen,ark:/21547/Ff2_91
96,,"HATTORI-TENNESSEE COOPERATIVE BRYOGEOGRAPHIC COLLECTIONS","TENN-L-0000046",,,"A. J. Sharp",,,,ark:/21547/Fg2_92,"1967-07-02",,,,"2 July 1967","Among lichens and mosses on slight hummock, moist, open",,,"USA","Alaska","Amchitka",,ark:/21547/Fh2_92,,"About 6 mi. by road W. of Baker Hanger",,,,,,,,"Alectoria","University of Tennessee",,,ark:/21547/Fj2_94,,,,,ark:/21547/Fi2_94,,"Alectoria",,,,,,,PreservedSpecimen,ark:/21547/Ff2_92
97,,"HATTORI-TENNESSEE COOPERATIVE BRYOGEOGRAPHIC COLLECTIONS","TENN-L-0000047",,"A389","A. J. Sharp and Z. Iwatsuki",,,,ark:/21547/Fg2_93,"1967-07-24",,,,"24 July 1967","Open face of cliff",,,"USA","Alaska",,,ark:/21547/Fh2_93,,"Across bay from Port Moller",,,,,,,,"Alectoria","University of Tennessee (TENN)",,,ark:/21547/Fj2_95,,,,,ark:/21547/Fi2_95,,"Alectoria",,,,,,,PreservedSpecimen,ark:/21547/Ff2_93
98,,"LICHENS OF VIRGINIA","TENN-L-0000048",,,"Hugh litis",,,,ark:/21547/Fg2_94,"1943-07-03",,,,"3 July 1943","on bark of pine, open woods,",,,"USA","VIRGINIA","Giles",,ark:/21547/Fh2_94,,"near Mountain Lake Biological Station",,,,,,,,"Alectoria","University of Tennessee (TENN)",,,ark:/21547/Fj2_96,,,,,ark:/21547/Fi2_96,,"Alectoria",,,,,,,PreservedSpecimen,ark:/21547/Ff2_94
99,,"Lichens OF GALCIER NATIONAL PARK","TENN-L-0000049",,"47","H. & V. Bailey",,,,ark:/21547/Fg2_95,"1939-06-20",,,,"June 20, 1939","On logs, rocks or humus, trunks of trees, etc.",,,"USA","Montana","Flathead",,ark:/21547/Fh2_95,,"Avalanche Lake Trial east of Lake McDonald","Alt: About 3500 ft.",,,,,,,"Alectoria","University of Tennessee (TENN)",,,ark:/21547/Fj2_97,,,,,ark:/21547/Fi2_97,,"Alectoria",,,,,,,PreservedSpecimen,ark:/21547/Ff2_95
100,,"Lichens of GLACIER NATIONAL PARK","TENN-L-0000050",,"85","H. & V. Bailey",,,,ark:/21547/Fg2_96,"1939-07-03",,,,"July 3, 1939",,,,"USA","Mont.","Flathead",,ark:/21547/Fh2_96,,"Trail to Mount Brown Lookout",,,,,,,,"Alectoria","University of Tennessee (TENN)",,,ark:/21547/Fj2_98,"Alt.: 6000 ft.",,,,ark:/21547/Fi2_98,,"Alectoria",,,,,,,PreservedSpecimen,ark:/21547/Ff2_96
101,,"HATTORI-TENNESSEE COOPERATIVE BRYOGEOGRAPHIC COLLECTIONS","TENN-L-0000051",,"3798a","A. J. Sharp",,,,ark:/21547/Fg2_97,"1967-06-28",,,,"28 June 1967","Bank of lake, moist, partial shade",,,"USA","Alaska","Amchitka",,ark:/21547/Fh2_97,,"N. of Andersite Quarry",,,,,,,,"Alectoria","University of Tennessee (TENN)",,,ark:/21547/Fj2_99,,,,,ark:/21547/Fi2_99,,"Alectoria",,,,,,,PreservedSpecimen,ark:/21547/Ff2_97
102,,"LICHENS OF GALCIER NATIONAL PARK","TENN-L-0000052",,"46","K. & Y. Bailey",,,,ark:/21547/Fg2_98,"1939-06-20",,,,"June 20, 1939","On logs, rocks or humus, trunks of trees, etc.",,,"USA","Montana","Flathead",,ark:/21547/Fh2_98,,"Avalanche Lake Trail east of Lake McDonald","Alt.: About 3500 ft.",,,,,,,"Alectoria","University of Tennessee (TENN)",,,ark:/21547/Fj2_100,,,,,ark:/21547/Fi2_100,,"Alectoria",,,,,,,PreservedSpecimen,ark:/21547/Ff2_98
103,,"LICHENS OF NORTH AMERICA","TENN-L-0000053",,"4461","A. C. Skorepa",,,,ark:/21547/Fg2_99,"1969-09",,,,"Sep-69",,,,,"North Carolina","Yancey",,ark:/21547/Fh2_99,,,,,,,,,,"Alectoria americana Mot.","University of Tennessee (TENN)",,,ark:/21547/Fj2_101,,,,,ark:/21547/Fi2_101,,"Alectoria americana Mot.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_99
104,,,,,,,,,,ark:/21547/Fg2_99,,,,,,,,,,,,,ark:/21547/Fh2_99,,,,,,,,,,"Alectoria americana Mot.",,,,ark:/21547/Fj2_102,"Jonathan P. Dey","1973-1974",,,ark:/21547/Fi2_102,,"Alectoria americana Mot.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_99
105,,,,,,,,,,ark:/21547/Fg2_99,,,,,,,,,,,,,ark:/21547/Fh2_99,,,,,,,,,,"Bryeria trichodes var. americana (Mot.) Brodo & Hawks",,,,ark:/21547/Fj2_103,"J P Dey","1980",,,ark:/21547/Fi2_103,,"Bryeria trichodes var. americana (Mot.) Brodo & Hawks",,,,,,,PreservedSpecimen,ark:/21547/Ff2_99
106,,"BRYOPHYTES OF IDAHO","TENN-L-0000054",,,"A. J. Sharp",,,,ark:/21547/Fg2_100,"1961-07-16",,,,"16 July 1961",,,,"USA","Idaho","Latah",,ark:/21547/Fh2_100,,"On Moscow Mountain, 1/2 mi. above Gravel road, above Moscow",,,,,,,,"Alectoria americana Mot.","University of Tennessee (TENN)",,,ark:/21547/Fj2_104,"A. Skorepa",,,,ark:/21547/Fi2_104,,"Alectoria americana Mot.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_100
107,,,"TENN-L-0000055",,"22","G.Gardner, P.Desroches",,,,ark:/21547/Fg2_101,"1967-08-14",,,,"14-8-67",,,,"Canada","Quebec","District de Gagnon",,ark:/21547/Fh2_101,,,,,,"Lat. 51° 52'N. Long. 68° 09'W.",,,,"Alectoria americana Mot.","University of Tennessee (TENN)",,,ark:/21547/Fj2_105,,,,,ark:/21547/Fi2_105,,"Alectoria americana Mot.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_101
108,,"PLANTS OF ONTARIO","TENN-L-0000056",,"6703","C.E.Garton",,,,ark:/21547/Fg2_102,"1959-08-04",,,,"4 Aug. 1959","Pendant upon N.-facing lakeshore cliff",,,"CANADA","ONTARIO","Thunder Bay",,ark:/21547/Fh2_102,,"Birch I. at extreme SW. corner of St. Ignace I.",,,,,,,,"Alectoria bicolor (Ehrh.) Nyl.","University of Tennessee (TENN)",,,ark:/21547/Fj2_106,"Mason E. Hale","1960-02",,,ark:/21547/Fi2_106,,"Alectoria bicolor (Ehrh.) Nyl.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_102
109,,"FLORA OF TRINITY COUNTY","TENN-L-0000057",,"1315","Donald Richards and Francis Drouet",,,,ark:/21547/Fg2_103,"1941-09-19",,,,"September 19, 1941","Hanging from trees",,,"USA","CALIFORNIA","TRINITY",,ark:/21547/Fh2_103,,"Weaver creek northwest of Weaverville","ca. 2,200 feet",,,,,,,"Alectoria Fremontii Tuck.","University of Tennessee (TENN)",,,ark:/21547/Fj2_107,"C. W. Dodge","1943",,,ark:/21547/Fi2_107,,"Alectoria Fremontii Tuck.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_103
110,,"RELIQUIAE TUCKERMANIANAE (2)","TENN-L-0000058",,,"E. Hall",,,,ark:/21547/Fg2_104,"1871",,,,"1871",,,,"USA","Oregon",,,ark:/21547/Fh2_104,,,,,,,,,,"Alectoria Fremontii Tuck.","University of Tennessee (TENN)",,,ark:/21547/Fj2_108,"Edward Tuckerman",,,,ark:/21547/Fi2_108,,"Alectoria Fremontii Tuck.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_104
111,,"LICHENES ARCTICI (88)","TENN-L-0000059",,,"J. W. Thomson & J. A. Larsen",,,,ark:/21547/Fg2_105,"July 16-21, 1962",,,,"July 16-21, 1962",,,,"Canada","NORTHWEST TERRITORIES",,,ark:/21547/Fh2_105,,"Timber Bay, west side of Artillery Lake",,,,"63° 15' N, 106° W","63° 15' N","106° W","On spruce","Alectoria glabra Mot.","University of Tennessee (TENN)","63.25","-106",ark:/21547/Fj2_109,,,,,ark:/21547/Fi2_109,,"Alectoria glabra Mot.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_105
112,,"FLORA OF NORTHWEST TERRITORIES","TENN-L-0000061",,"445A","W.W.Jeffrey",,,,ark:/21547/Fg2_106,,,,,,,,,"Canada","NORTHWEST TERRITORIES",,,ark:/21547/Fh2_106,,"S.W. Mackenzie Mts.:Liard Range, 10 mi. W. of Fort Liard","3000 ft.",,,,,,,"Alectoria jubata (L.) Ach.","University of Tennessee (TENN)",,,ark:/21547/Fj2_110,"Howard Crum","1959",,,ark:/21547/Fi2_110,,"Alectoria jubata (L.) Ach.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_106
113,,"RELIQUIAE TUCKERMANIANAE (3)","TENN-L-0000063",,,"Edward Tuckerman",,,,ark:/21547/Fg2_107,,,,,,,,,,"Massachusetts",,"Amherst",ark:/21547/Fh2_107,,"Amherst, Massachusetts",,,,,,,,"Alectoria jubata Ach. var. chalybeiformis Ach.","University of Tennessee (TENN)",,,ark:/21547/Fj2_111,"Edward Tuckerman",,,,ark:/21547/Fi2_111,,"Alectoria jubata Ach. var. chalybeiformis Ach.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_107
114,,"LICHENS OF ONTARIO","TENN-L-0000064",,"623","H. A. Sierk",,,,ark:/21547/Fg2_108,"1957-08-01",,,,"August 1, 1957","on Pinus resinosus",,,"Canada","ONTARIO",,,ark:/21547/Fh2_108,,"Agawa Bay",,,,,,,,"Alectoria jubata (L.) Ach.","University of Tennessee (TENN)",,,ark:/21547/Fj2_112,"H. A. Sierk","1957-08-01",,,ark:/21547/Fi2_112,,"Alectoria jubata (L.) Ach.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_108
115,,"LICHENS OF MICHIGAN","TENN-L-0000065",,,"A. J. Sharp",,,,ark:/21547/Fg2_109,"1955-07-31",,,,"31 July, 1955","On spruce",,,"USA","MICHIGAN","Emmett",,ark:/21547/Fh2_109,,"Stutzmanville Bog",,,,,,,,"Alectoria jubata (L.) Ach.","University of Tennessee (TENN)",,,ark:/21547/Fj2_113,"A. J. Sharp","1955-July-31",,,ark:/21547/Fi2_113,,"Alectoria jubata (L.) Ach.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_109
116,,"LICHENS OF MICHIGAN","TENN-L-0000068",,,"L.P. Lord",,,,ark:/21547/Fg2_110,"1955-06-22",,,,"22 June 1955","bark, edge of road near gorge",,,"USA","MICHIGAN","Cheboygan",,ark:/21547/Fh2_110,,"edge of road near gorge Cheboygan County",,,,,,,,"Alectoria jubata (L.) Ach.","University of Tennessee (TENN)",,,ark:/21547/Fj2_114,"L.P. Lord",,,,ark:/21547/Fi2_114,,"Alectoria jubata (L.) Ach.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_110
117,,"FLORA LICHENES (3414)","TENN-L-0000072",,,"Walter Kiener",,,,ark:/21547/Fg2_111,"1935-09-20",,,,"Sept.20,1935.","bark of Pinug flexilis",,,"U.S.A.","COLORADO",,,ark:/21547/Fh2_111,,"Rocky Mountain National Park, Longs Peak","10,000 ft.",,,"Lat. 40° N",,,,"Alectoria jubata implexa (Hoffm.) Ach.","University of Tennessee (TENN)",,,ark:/21547/Fj2_115,,,,,ark:/21547/Fi2_115,,"Alectoria jubata implexa (Hoffm.) Ach.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_111
118,,"LICHENES ARCTICI","TENN-L-0000073",,,"J.W.Thomson J.A. Larsen",,,,ark:/21547/Fg2_112,"July 20 & 21, 1959",,,,"July 20 & 21, 1959","on esker and nearby ridges",,,"Canada","NORTHWEST TERRITORIES","District of Keewatir",,ark:/21547/Fh2_112,,"ROSSDY LAKE, in central Keewatin",,,,"Lat. 66° 10' N., Long. 94° 25' W.",,,,"Alectoria lanea (Ehrh.)Vainio","University of Tennessee (TENN)",,,ark:/21547/Fj2_116,,,,,ark:/21547/Fi2_116,,"Alectoria lanea (Ehrh.)Vainio",,,,,,,PreservedSpecimen,ark:/21547/Ff2_112
119,,"LICHENS OF ALASKA","TENN-L-0000074",,,"A.J. Sharp",,,,ark:/21547/Fg2_113,"1958-07-19",,,,"19 July 1958",,,,"USA","ALASKA",,,ark:/21547/Fh2_113,,"At the Point, Barrow",,,,,,,,"Alectoria lanea (Ehrh.) Nyl.","University of Tennessee (TENN)",,,ark:/21547/Fj2_117,,,,,ark:/21547/Fi2_117,,"Alectoria lanea (Ehrh.) Nyl.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_113
120,,"FLORE DU NOUVEAU-QUEBEC","TENN-L-0000075",,"20320","Samuel Brisson et Philippe Forest",,,,ark:/21547/Fg2_114,"1969-07-13",,,,"13 juil. 1969",,,,"Canada","QUEBEC",,"NOUVEAU-QUEBEC",ark:/21547/Fh2_114,,"POSTE-DE-LA-BALEINE (Great Whale River) Baie d'Hudson, Pessiere a lichens, terrasse superieure de la rive sud de la riviere",,,,"circa 55°17'N., 77°46'W.","55°17'N","77°46'W",,"Alectoria lanestris (Ach.) Gyeln.","University of Tennessee (TENN)","55.283","-77.767",ark:/21547/Fj2_118,"Dr I. Brodo",,,,ark:/21547/Fi2_118,,"Alectoria lanestris (Ach.) Gyeln.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_114
121,,"LICHENS OF THE 1951 FORAY American Bryological Society","TENN-L-0000076",,,"John W. Thomson",,,,ark:/21547/Fg2_115,"1951-09",,,,"September 1951","on cliff face",,,"USA","Minn.","Cook",,ark:/21547/Fh2_115,,"To the north shore of Lake Superior, Susie Islands, on cliff face, north side of Long Island",,,,,,,,"Alectoria waduornikinana Geyel.","University of Tennessee (TENN)",,,ark:/21547/Fj2_119,,,,,ark:/21547/Fi2_119,,"Alectoria waduornikinana Geyel.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_115
122,,"FLORA OF Michigan","TENN-L-0000077",,,"A.J. Sharp",,,,ark:/21547/Fg2_116,"1956-07-20",,,,"20 July l956","Substratum On Jack pine",,,"USA","Michigan","Luce",,ark:/21547/Fh2_116,,"Pike Lake",,,,,,,,"Alectoria nidulifera","University of Tennessee (TENN)",,,ark:/21547/Fj2_120,,,,,ark:/21547/Fi2_120,,"Alectoria nidulifera",,,,,,,PreservedSpecimen,ark:/21547/Ff2_116
123,,"LICHENS OF MICHIGAN","TENN-L-0000079",,,"L.P. Lord",,,,ark:/21547/Fg2_117,"1955-07-06",,,,"6 July 1955","Thuja branches",,,"USA","MICHIGAN","Cheboygan",,ark:/21547/Fh2_117,,"Mud Lake",,,,,,,,"Alectoria nidulifera Norrl.","University of Tennessee (TENN)",,,ark:/21547/Fj2_121,"L.P. Lord",,,,ark:/21547/Fi2_121,,"Alectoria nidulifera Norrl.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_117
124,,"LICHENES AMERICANI EXSICCATI (74)","TENN-L-0000080",,,"M. E. Hale",,,,ark:/21547/Fg2_118,"1956-07",,,,"July, 1956","On Pinus resinosa in the high mountains",,,"USA","West Virginia","Randolph",,ark:/21547/Fh2_118,,"at Spruce Knob Lake",,,,,,,,"Alectoria nidulifera Norrl.","University of Tennessee (TENN)",,,ark:/21547/Fj2_122,,,,,ark:/21547/Fi2_122,,"Alectoria nidulifera Norrl.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_118
125,,"LICHENS OF Ontario (599)","TENN-L-0000083",,"599","H. A. Sierk",,,,ark:/21547/Fg2_119,"1957-08-01",,,,"August l, 1957","On Betula",,,"Canada","Ontario",,"Ontario",ark:/21547/Fh2_119,,"Carp River on Hwy. 17",,,,,,,,"Alectoria nidulifera Norrl.","University of Tennessee (TENN)",,,ark:/21547/Fj2_123,"H. A. Sierk","1957-08-01",,,ark:/21547/Fi2_123,,"Alectoria nidulifera Norrl.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_119
126,,"FLORA OF NORTH CAROLINA","TENN-L-0000084",,"502","Barbara Moore",,,,ark:/21547/Fg2_120,"1963-04-13",,,,"13 April 1963","Substratum tree bark",,,"USA","NORTH CAROLINA","Swain",,ark:/21547/Fh2_120,,"Noland Divide trail near Sasafrass Gap",,,,,,,,"Alectoria nidulifera","University of Tennessee (TENN)",,,ark:/21547/Fj2_124,"Barbara Moore",,,,ark:/21547/Fi2_124,,"Alectoria nidulifera",,,,,,,PreservedSpecimen,ark:/21547/Ff2_120
127,,"FLORA OF NORTH CAROLINA","TENN-L-0000087",,"252","Barbara Moore",,,,ark:/21547/Fg2_121,"1963-06-21",,,,"21 June 1963","Substratum rail fence",,,"USA","NORTH CAROLINA","Haywood",,ark:/21547/Fh2_121,,"near Cataloochee camping area",,,,,,,,"Alectoria nidulifera Norrl.","University of Tennessee (TENN)",,,ark:/21547/Fj2_125,"Barbara Moore",,,,ark:/21547/Fi2_125,,"Alectoria nidulifera Norrl.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_121
128,,"Lichens of COLORADO","TENN-L-0000089",,"4387","Walter Kiener",,,,ark:/21547/Fg2_122,"1936-07-25",,,,"July 25,1936","Over siliceous rocks",,,"U.S.A.","COLORADO",,,ark:/21547/Fh2_122,,"Rocky Mountain National Park, Longs Peak. High-alpine","13,500 ft.",,,"Lat.40° N.",,,,"Alectoria nigricans (Ach.) Nyl","University of Tennessee (TENN)",,,ark:/21547/Fj2_126,,,,,ark:/21547/Fi2_126,,"Alectoria nigricans (Ach.) Nyl",,,,,,,PreservedSpecimen,ark:/21547/Ff2_122
129,,"LICHENS OF NORTH AMERICA","TENN-L-0000090",,,"E. Clebsch",,,,ark:/21547/Fg2_123,,,,,"19-23 June 1967",,,,"USA","AK",,,ark:/21547/Fh2_123,,"Amchitha Island",,,,,,,,"Alectoria cv nigricans","University of Tennessee (TENN)",,,ark:/21547/Fj2_127,,,,,ark:/21547/Fi2_127,,"Alectoria nigricans",,,,,,,PreservedSpecimen,ark:/21547/Ff2_123
130,,"LICHENS OF ALASKA","TENN-L-0000091",,,"A.J. Sharp",,,,ark:/21547/Fg2_124,"1958-07-19",,,,"19 July 1958",,,,"USA","ALASKA",,,ark:/21547/Fh2_124,,"At the Point, Barrow",,,,,,,,"Alectoria nigricans (Ach.) Nyl.","University of Tennessee (TENN)",,,ark:/21547/Fj2_128,"JWT.","1963",,,ark:/21547/Fi2_128,,"Alectoria nigricans (Ach.) Nyl.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_124
131,,"LICHENS OF ALASKA","TENN-L-0000093",,,"John Koranda",,,,ark:/21547/Fg2_125,"1956-08-24",,,,"24 Aug 1956",,,,"USA","ALASKA",,,ark:/21547/Fh2_125,,"Barrow area, from clip quadrat b 15+ (10)",,,,,,,,"Alectoria nigricans (Ach.) Nyl.","University of Tennessee (TENN)",,,ark:/21547/Fj2_129,"J. W. Thomson",,,,ark:/21547/Fi2_129,,"Alectoria nigricans (Ach.) Nyl.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_125
132,,"LICHENS OF NORTH AMERICA","TENN-L-0000095",,,"E. Clebsch",,,,ark:/21547/Fg2_126,,,,,"19-23 June 1967",,,,"USA","Alaska",,,ark:/21547/Fh2_126,,"Amachitha Island",,,,,,,,"A1ectoria ochrolenia","University of Tennessee (TENN)",,,ark:/21547/Fj2_130,,,,,ark:/21547/Fi2_130,,"A1ectoria ochrolenia",,,,,,,PreservedSpecimen,ark:/21547/Ff2_126
133,,,"TENN-L-0000097",,"3736","A. J. Sharp",,,,ark:/21547/Fg2_127,"1967-06-27",,,,"27 June 1967","Moist soil, open",,,"USA","Alaska",,,ark:/21547/Fh2_127,,"Near Topside, Amchitka",,,,,,,,"Alectoria ochrolenia (Ehrh.) Nyl.","University of Tennessee (TENN)",,,ark:/21547/Fj2_131,,,,,ark:/21547/Fi2_131,,"Alectoria ochrolenia (Ehrh.) Nyl.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_127
134,,"LICHENS DU NOUVEAU-QUEBEC","TENN-L-0000098",,"8017","Mason Hale",,,,ark:/21547/Fg2_128,"1965-08-12",,,,"12 aout 1965",,,,"Canada","QUEBEC",,,ark:/21547/Fh2_128,,"LAC PAYNE, Toundra",,,,"Circa 59° 17' N. 73° 25' W.",,,,"Alectoria ochroleuca (Ehrh.) Nyl","University of Tennessee (TENN)",,,ark:/21547/Fj2_132,,,,,ark:/21547/Fi2_132,,"Alectoria ochroleuca (Ehrh.) Nyl",,,,,,,PreservedSpecimen,ark:/21547/Ff2_128
135,,"LICHENES ARCTICI (90)","TENN-L-0000099",,,"J. W. Thomson & J.A. Larsen",,,,ark:/21547/Fg2_129,,,,,"July 16-21, 1962","In open tundra and on sand",,,"Canada","NORTHWEST TERRITORIES",,,ark:/21547/Fh2_129,,"west side of Artillery Lake near Rat Lodge",,,,"63° 15' N, 106° W","63° 15' N","106° W",,"Alectoria ochroleuca (Ehrh.)Nyl.","University of Tennessee (TENN)","63.25","-106",ark:/21547/Fj2_133,,,,,ark:/21547/Fi2_133,,"Alectoria ochroleuca (Ehrh.)Nyl.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_129
136,,"FLORA of ALASKA",,,"682","S. S. Talbot & W.B. Schofield",,,,ark:/21547/Fg2_130,"2001-07-28",,,,"28 July 2001","On peat in Picea mariana-Eriophorum vaginatum-Sphagnum girgensohnii peatland",,,"USA","ALASKA",,,ark:/21547/Fh2_130,,"Mile 1248 Alaska Hwy.; vicinity of Tetlin NWR","1,800 ft",,,"62°52.053'N 141°28.497'W","62°52.053'N","141°28.497'W",,"Cetraria islandica (l) Ach.",,"62.868","-141.475",ark:/21547/Fj2_134,"John W. Thomson","February 2002",,,ark:/21547/Fi2_134,,"Cetraria islandica (l) Ach.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_130
137,,"FLORA of ALASKA",,,"119","Stephen S. Talbot",,,,ark:/21547/Fg2_131,"1995-07-15",,,,"15 July 1995","Empetrum nigrum-Salix arctica heath of upper-mountain slope",,,"USA","ALASKA",,,ark:/21547/Fh2_131,,"Simeonof Is.; Shumagin Islands, W slope of Hill 1021, Quad. Map Simeonof Island (D-1)","250 m",,,"54° 56.118' N 159° 16.987 W","54°56.118'N","159°16.987'W",,"Cetraria islandica (L) Ach",,"54.935","-159.283",ark:/21547/Fj2_135,"John W. Thomson","1997",,,ark:/21547/Fi2_135,,"Cetraria islandica (L) Ach",,,,,,,PreservedSpecimen,ark:/21547/Ff2_131
